embed_model,downstream_task, downstream_model, acc, rec, f1-micro, f1-macro
skipgram,loc_pre,stlstm,0.07857514925672156,0.049127914436135546,0.07857514925672156,0.03592142434152687
poi2vec,loc_pre,stlstm,0.08129983571743399,0.05498880805334571,0.08129983571743399,0.04147433396511379
skipgram,loc_pre,stlstm,0.020484171322160148,0.001310615989515072,0.020484171322160148,7.108402379339858e-05
skipgram,loc_pre,stlstm,0.020484171322160148,0.001310615989515072,0.020484171322160148,5.261597038199195e-05
poi2vec,loc_pre,stlstm,0.020484171322160148,0.001310615989515072,0.020484171322160148,5.261597038199195e-05
teaser,loc_pre,stlstm,0.020484171322160148,0.002839667977282656,0.020484171322160148,8.039357549203501e-05
skipgram,loc_pre,stlstm,0.020484171322160148,0.001310615989515072,0.020484171322160148,5.261597038199195e-05
poi2vec,loc_pre,stlstm,0.020484171322160148,0.001310615989515072,0.020484171322160148,6.962504488802582e-05
teaser,loc_pre,stlstm,0.020484171322160148,0.001310615989515072,0.020484171322160148,5.261597038199195e-05
